"AGE","AGE_less_than_35","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_plus","HHSEX","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree","LF","ASSET","FIN","CHECKING","SAVING","CALL","STOCKS","HSTOCKS","THRIFT","IRAKH","DEBT","SAVED","INCOME","NWCAT","NETWORTH","YESFINRISK","NOFINRISK","SAVRES1","SAVRES2","SAVRES3","SAVRES4","SAVRES5","SAVRES6","SAVRES7","SAVRES8","KNOWL_not_knowledgeable","KNOWL_no_knowledge","KNOWL_somewhat_knowledgeable","KNOWL_very_knowledgeable","FINLIT_0","FINLIT_1","FINLIT_2","FINLIT_3","OCCAT2_managerial_professional","OCCAT2_technical_sales_services","OCCAT2_other_manual_labor","OCCAT2_not_working"
57,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,526301,501,500,0,0,0,0,0,0,115520,1,59450.150301,3,410781,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
57,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,524101,501,500,0,0,0,0,0,0,104120,1,59450.150301,3,419981,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
57,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,524201,501,500,0,0,0,0,0,0,160920,1,59450.150301,3,363281,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,79620,43620,3000,1980,0,0,0,750,6600,243600,1,113495.74148,1,-163980,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,77710,43710,2590,1770,0,0,0,700,6600,244300,1,116738.47695,1,-166590,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,79770,42770,2820,1930,0,0,0,670,6200,244300,1,119981.21242,1,-164530,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,75610,41610,2910,1570,0,0,0,770,6100,243800,1,108091.18236,1,-168190,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,83130,50130,3020,1880,0,0,0,770,6400,243900,1,119981.21242,1,-160770,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
56,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,315090,3290,3200,0,0,0,0,0,0,22300,0,55126.503006,3,292790,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
56,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,313490,2690,2600,0,0,0,0,0,0,22300,0,51883.767535,3,291190,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
56,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,312390,3360,3300,0,0,0,0,0,0,22300,0,46479.208417,3,290090,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
56,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,315760,3260,3200,0,0,0,0,0,0,22300,0,54045.591182,3,293460,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
56,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,312200,3380,3300,0,0,0,0,0,0,22300,0,33508.266533,3,289900,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
70,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,23350,2650,1700,950,0,0,0,0,0,600,0,22699.148297,1,22750,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
70,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,29750,2650,1700,950,0,0,0,0,0,600,0,21618.236473,2,29150,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
70,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,27850,2650,1700,950,0,0,0,0,0,600,0,22699.148297,2,27250,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
70,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,27950,2650,1700,950,0,0,0,0,0,600,0,22699.148297,2,27350,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
